site_id,date,ndci_value,cloud_fraction,valid_pixels,total_pixels,scene_id
site-a,2026-08-02,0.2747,0.0,90,90,S2C_11SPS_20260802_0_L2A
site-a,2026-08-04,0.2509,0.0,90,90,S2A_11SPS_20260804_1_L2A
site-a,2026-08-07,0.2623,0.0,90,90,S2B_11SPS_20260807_0_L2A
site-a,2026-08-12,0.2783,0.0,90,90,S2C_11SPS_20260812_0_L2A
site-a,2026-08-17,0.2351,0.0,90,90,S2B_11SPS_20260817_0_L2A
site-a,2026-08-22,0.2879,0.0,90,90,S2C_11SPS_20260822_0_L2A
site-a,2026-08-24,0.2506,0.0,90,90,S2A_11SPS_20260824_1_L2A
site-a,2026-09-01,0.2892,0.0,90,90,S2C_11SPS_20260901_0_L2A
site-a,2026-09-11,0.2818,0.0,90,90,S2C_11SPS_20260911_0_L2A
site-c,2026-08-02,0.272,0.0,78,78,S2C_11SPS_20260802_0_L2A
site-c,2026-08-04,0.2562,0.0,78,78,S2A_11SPS_20260804_1_L2A
site-c,2026-08-07,0.271,0.0,78,78,S2B_11SPS_20260807_0_L2A
site-c,2026-08-12,0.2988,0.0,78,78,S2C_11SPS_20260812_0_L2A
site-c,2026-08-17,0.2583,0.0,78,78,S2B_11SPS_20260817_0_L2A
site-c,2026-08-22,0.2956,0.0,78,78,S2C_11SPS_20260822_0_L2A
site-c,2026-08-24,0.256,0.0,78,78,S2A_11SPS_20260824_1_L2A
site-c,2026-09-01,0.2933,0.0,78,78,S2C_11SPS_20260901_0_L2A
site-c,2026-09-11,0.2416,0.0,78,78,S2C_11SPS_20260911_0_L2A
site-d,2026-08-02,0.2854,0.0,76,76,S2C_11SPS_20260802_0_L2A
site-d,2026-08-04,0.2505,0.0,76,76,S2A_11SPS_20260804_1_L2A
site-d,2026-08-07,0.2671,0.0,76,76,S2B_11SPS_20260807_0_L2A
site-d,2026-08-12,0.3062,0.0,76,76,S2C_11SPS_20260812_0_L2A
site-d,2026-08-17,0.2718,0.0,76,76,S2B_11SPS_20260817_0_L2A
site-d,2026-08-22,0.2925,0.0,76,76,S2C_11SPS_20260822_0_L2A
site-d,2026-08-24,0.2498,0.0,76,76,S2A_11SPS_20260824_1_L2A
site-d,2026-09-01,0.3156,0.0,76,76,S2C_11SPS_20260901_0_L2A
site-d,2026-09-11,0.3009,0.008,75,76,S2C_11SPS_20260911_0_L2A
site-b,2026-08-02,0.133,0.0,119,119,S2B_4QHG_20260802_0_L2A
site-b,2026-08-07,0.1493,0.0,119,119,S2C_4QHG_20260807_0_L2A
site-b,2026-08-12,0.1658,0.0,119,119,S2B_4QHG_20260812_0_L2A
site-b,2026-08-22,0.1882,0.01,119,119,S2B_4QHG_20260822_0_L2A
site-b,2026-08-27,0.1797,0.015,119,119,S2C_4QHG_20260827_0_L2A
site-b,2026-09-11,0.2069,0.0,119,119,S2B_4QHG_20260911_0_L2A
site-e,2026-08-02,0.151,0.0,77,77,S2B_4QHG_20260802_0_L2A
site-e,2026-08-07,0.1698,0.0,77,77,S2C_4QHG_20260807_0_L2A
site-e,2026-08-12,0.165,0.0,77,77,S2B_4QHG_20260812_0_L2A
site-e,2026-08-22,0.1794,0.0,77,77,S2B_4QHG_20260822_0_L2A
site-e,2026-08-27,0.2613,0.0,77,77,S2C_4QHG_20260827_0_L2A
site-e,2026-09-11,0.2158,0.0,77,77,S2B_4QHG_20260911_0_L2A
site-f,2026-08-02,0.2334,0.0,42,42,S2B_4QHG_20260802_0_L2A
site-f,2026-08-07,0.2649,0.0,42,42,S2C_4QHG_20260807_0_L2A
site-f,2026-08-12,0.2461,0.0,42,42,S2B_4QHG_20260812_0_L2A
site-f,2026-08-22,0.2167,0.029,41,42,S2B_4QHG_20260822_0_L2A
site-f,2026-08-27,0.2601,0.014,42,42,S2C_4QHG_20260827_0_L2A
site-f,2026-09-11,0.2818,0.029,42,42,S2B_4QGG_20260911_0_L2A
