site_id,timestamp,biomass_density_g_L,biomass_produced_kg,water_temp_C,pH,dissolved_O2_mg_L,dissolved_CO2_mg_L,turbidity_NTU,light_PAR,harvested_g_L
site-a,2026-08-01T00:00:00Z,0.525,0.0,27.4,9.36,6.98,22.92,36.7,0.0,0.0
site-a,2026-08-01T01:00:00Z,0.525,0.0,26.37,9.36,6.62,22.19,37.6,0.0,0.0
site-a,2026-08-01T02:00:00Z,0.525,0.0,25.76,9.32,6.8,22.12,38.5,0.0,0.0
site-a,2026-08-01T03:00:00Z,0.525,0.0,25.46,9.36,6.67,22.6,35.6,0.0,0.0
site-a,2026-08-01T04:00:00Z,0.525,0.0,25.57,9.37,6.65,22.18,38.5,0.0,0.0
site-a,2026-08-01T05:00:00Z,0.525,0.0,26.19,9.31,6.64,22.26,37.4,0.0,0.0
site-a,2026-08-01T06:00:00Z,0.5273,105.529,27.2,9.75,10.14,14.72,38.1,372.6,0.0
site-a,2026-08-01T07:00:00Z,0.5307,153.803,28.27,9.86,10.88,12.96,37.5,811.8,0.0
site-a,2026-08-01T08:00:00Z,0.5351,198.3041,29.68,9.93,10.85,12.0,36.5,1208.0,0.0
site-a,2026-08-01T09:00:00Z,0.5393,187.373,31.38,9.9,11.62,14.0,39.6,1540.3,0.0
site-a,2026-08-01T10:00:00Z,0.5434,186.581,32.47,9.88,10.9,12.71,36.8,1791.1,0.0
site-a,2026-08-01T11:00:00Z,0.5475,185.0044,34.03,9.87,10.49,13.29,39.4,1947.1,0.0
site-a,2026-08-01T12:00:00Z,0.5516,184.8493,35.0,9.81,10.61,14.79,38.6,2000.0,0.0
site-a,2026-08-01T13:00:00Z,0.5553,167.6438,36.15,9.83,10.79,13.52,38.2,1947.1,0.0
site-a,2026-08-01T14:00:00Z,0.5597,201.0348,36.02,9.83,10.9,12.56,39.2,1791.1,0.0
site-a,2026-08-01T15:00:00Z,0.5643,206.0826,36.85,9.91,11.07,13.41,38.8,1540.3,0.0
site-a,2026-08-01T16:00:00Z,0.5687,202.5304,36.29,9.85,11.24,11.7,38.5,1208.0,0.0
site-a,2026-08-01T17:00:00Z,0.5729,190.1172,36.01,9.76,10.22,13.89,36.7,811.8,0.0
site-a,2026-08-01T18:00:00Z,0.576,140.9538,34.81,9.74,9.85,14.73,39.6,372.6,0.0
site-a,2026-08-01T19:00:00Z,0.576,0.0,33.47,9.31,6.79,21.31,39.5,0.0,0.0
site-a,2026-08-01T20:00:00Z,0.576,0.0,32.62,9.35,7.05,22.82,39.5,0.0,0.0
site-a,2026-08-01T21:00:00Z,0.576,0.0,31.2,9.35,6.98,21.77,39.6,0.0,0.0
site-a,2026-08-01T22:00:00Z,0.576,0.0,29.62,9.4,6.85,22.27,37.7,0.0,0.0
